timestamp,traffic_mbps,hour,day_of_week,is_weekend,month
2023-01-01 00:00:00,524.85,0,Sunday,1,1
2023-01-01 01:00:00,493.21,1,Sunday,1,1
2023-01-01 02:00:00,579.75,2,Sunday,1,1
2023-01-01 03:00:00,542.37,3,Sunday,1,1
2023-01-01 04:00:00,492.65,4,Sunday,1,1
2023-01-01 05:00:00,525.47,5,Sunday,1,1
2023-01-01 06:00:00,566.5,6,Sunday,1,1
2023-01-01 07:00:00,735.4,7,Sunday,1,1
2023-01-01 08:00:00,826.35,8,Sunday,1,1
2023-01-01 09:00:00,805.0,9,Sunday,1,1
2023-01-01 10:00:00,826.63,10,Sunday,1,1
2023-01-01 11:00:00,776.57,11,Sunday,1,1
2023-01-01 12:00:00,764.06,12,Sunday,1,1
2023-01-01 13:00:00,608.73,13,Sunday,1,1
2023-01-01 14:00:00,663.97,14,Sunday,1,1
2023-01-01 15:00:00,606.44,15,Sunday,1,1
2023-01-01 16:00:00,530.78,16,Sunday,1,1
2023-01-01 17:00:00,636.2,17,Sunday,1,1
2023-01-01 18:00:00,812.63,18,Sunday,1,1
2023-01-01 19:00:00,905.68,19,Sunday,1,1
2023-01-01 20:00:00,1031.81,20,Sunday,1,1
2023-01-01 21:00:00,970.2,21,Sunday,1,1
2023-01-01 22:00:00,807.7,22,Sunday,1,1
2023-01-01 23:00:00,704.61,23,Sunday,1,1
2023-01-02 00:00:00,540.64,0,Monday,0,1
2023-01-02 01:00:00,567.91,1,Monday,0,1
2023-01-02 02:00:00,518.73,2,Monday,0,1
2023-01-02 03:00:00,580.23,3,Monday,0,1
2023-01-02 04:00:00,517.54,4,Monday,0,1
2023-01-02 05:00:00,525.68,5,Monday,0,1
2023-01-02 06:00:00,671.51,6,Monday,0,1
2023-01-02 07:00:00,657.16,7,Monday,0,1
2023-01-02 08:00:00,814.91,8,Monday,0,1
2023-01-02 09:00:00,829.97,9,Monday,0,1
2023-01-02 10:00:00,762.11,10,Monday,0,1
2023-01-02 11:00:00,726.25,11,Monday,0,1
2023-01-02 12:00:00,686.04,12,Monday,0,1
2023-01-02 13:00:00,629.75,13,Monday,0,1
2023-01-02 14:00:00,597.81,14,Monday,0,1
2023-01-02 15:00:00,601.76,15,Monday,0,1
2023-01-02 16:00:00,491.32,16,Monday,0,1
2023-01-02 17:00:00,642.17,17,Monday,0,1
2023-01-02 18:00:00,737.4,18,Monday,0,1
2023-01-02 19:00:00,869.19,19,Monday,0,1
2023-01-02 20:00:00,957.36,20,Monday,0,1
2023-01-02 21:00:00,890.63,21,Monday,0,1
2023-01-02 22:00:00,771.96,22,Monday,0,1
2023-01-02 23:00:00,739.38,23,Monday,0,1
2023-01-03 00:00:00,504.99,0,Tuesday,0,1
2023-01-03 01:00:00,474.93,1,Tuesday,0,1
2023-01-03 02:00:00,447.54,2,Tuesday,0,1
2023-01-03 03:00:00,527.01,3,Tuesday,0,1
2023-01-03 04:00:00,474.02,4,Tuesday,0,1
2023-01-03 05:00:00,524.53,5,Tuesday,0,1
2023-01-03 06:00:00,608.99,6,Tuesday,0,1
2023-01-03 07:00:00,748.43,7,Tuesday,0,1
2023-01-03 08:00:00,782.14,8,Tuesday,0,1
2023-01-03 09:00:00,852.62,9,Tuesday,0,1
2023-01-03 10:00:00,809.74,10,Tuesday,0,1
2023-01-03 11:00:00,759.95,11,Tuesday,0,1
2023-01-03 12:00:00,700.43,12,Tuesday,0,1
2023-01-03 13:00:00,605.76,13,Tuesday,0,1
2023-01-03 14:00:00,546.31,14,Tuesday,0,1
2023-01-03 15:00:00,614.39,15,Tuesday,0,1
2023-01-03 16:00:00,635.42,16,Tuesday,0,1
2023-01-03 17:00:00,664.13,17,Tuesday,0,1
2023-01-03 18:00:00,702.54,18,Tuesday,0,1
2023-01-03 19:00:00,813.32,19,Tuesday,0,1
2023-01-03 20:00:00,900.87,20,Tuesday,0,1
2023-01-03 21:00:00,925.71,21,Tuesday,0,1
2023-01-03 22:00:00,689.07,22,Tuesday,0,1
2023-01-03 23:00:00,653.98,23,Tuesday,0,1
2023-01-04 00:00:00,523.67,0,Wednesday,0,1
2023-01-04 01:00:00,496.46,1,Wednesday,0,1
2023-01-04 02:00:00,478.33,2,Wednesday,0,1
2023-01-04 03:00:00,546.15,3,Wednesday,0,1
2023-01-04 04:00:00,1076.5,4,Wednesday,0,1
2023-01-04 05:00:00,548.32,5,Wednesday,0,1
2023-01-04 06:00:00,615.5,6,Wednesday,0,1
2023-01-04 07:00:00,711.11,7,Wednesday,0,1
2023-01-04 08:00:00,794.89,8,Wednesday,0,1
2023-01-04 09:00:00,839.22,9,Wednesday,0,1
2023-01-04 10:00:00,825.76,10,Wednesday,0,1
2023-01-04 11:00:00,799.41,11,Wednesday,0,1
2023-01-04 12:00:00,647.14,12,Wednesday,0,1
2023-01-04 13:00:00,629.63,13,Wednesday,0,1
2023-01-04 14:00:00,640.19,14,Wednesday,0,1
2023-01-04 15:00:00,500.92,15,Wednesday,0,1
2023-01-04 16:00:00,590.47,16,Wednesday,0,1
2023-01-04 17:00:00,589.61,17,Wednesday,0,1
2023-01-04 18:00:00,749.3,18,Wednesday,0,1
2023-01-04 19:00:00,821.53,19,Wednesday,0,1
2023-01-04 20:00:00,798.96,20,Wednesday,0,1
2023-01-04 21:00:00,862.36,21,Wednesday,0,1
2023-01-04 22:00:00,767.87,22,Wednesday,0,1
2023-01-04 23:00:00,673.15,23,Wednesday,0,1
2023-01-05 00:00:00,588.28,0,Thursday,0,1
2023-01-05 01:00:00,520.35,1,Thursday,0,1
2023-01-05 02:00:00,606.76,2,Thursday,0,1
2023-01-05 03:00:00,554.96,3,Thursday,0,1
2023-01-05 04:00:00,535.38,4,Thursday,0,1
2023-01-05 05:00:00,579.37,5,Thursday,0,1
2023-01-05 06:00:00,584.99,6,Thursday,0,1
2023-01-05 07:00:00,620.68,7,Thursday,0,1
2023-01-05 08:00:00,841.21,8,Thursday,0,1
2023-01-05 09:00:00,741.74,9,Thursday,0,1
2023-01-05 10:00:00,807.17,10,Thursday,0,1
2023-01-05 11:00:00,712.62,11,Thursday,0,1
2023-01-05 12:00:00,765.08,12,Thursday,0,1
2023-01-05 13:00:00,579.58,13,Thursday,0,1
2023-01-05 14:00:00,619.92,14,Thursday,0,1
2023-01-05 15:00:00,550.43,15,Thursday,0,1
2023-01-05 16:00:00,557.79,16,Thursday,0,1
2023-01-05 17:00:00,685.98,17,Thursday,0,1
2023-01-05 18:00:00,787.66,18,Thursday,0,1
2023-01-05 19:00:00,885.59,19,Thursday,0,1
2023-01-05 20:00:00,899.17,20,Thursday,0,1
2023-01-05 21:00:00,858.9,21,Thursday,0,1
2023-01-05 22:00:00,731.73,22,Thursday,0,1
2023-01-05 23:00:00,684.8,23,Thursday,0,1
2023-01-06 00:00:00,565.29,0,Friday,0,1
2023-01-06 01:00:00,501.15,1,Friday,0,1
2023-01-06 02:00:00,516.86,2,Friday,0,1
2023-01-06 03:00:00,496.83,3,Friday,0,1
2023-01-06 04:00:00,462.88,4,Friday,0,1
2023-01-06 05:00:00,479.92,5,Friday,0,1
2023-01-06 06:00:00,597.0,6,Friday,0,1
2023-01-06 07:00:00,638.21,7,Friday,0,1
2023-01-06 08:00:00,727.87,8,Friday,0,1
2023-01-06 09:00:00,797.46,9,Friday,0,1
2023-01-06 10:00:00,809.46,10,Friday,0,1
2023-01-06 11:00:00,717.28,11,Friday,0,1
2023-01-06 12:00:00,613.38,12,Friday,0,1
2023-01-06 13:00:00,571.1,13,Friday,0,1
2023-01-06 14:00:00,569.95,14,Friday,0,1
2023-01-06 15:00:00,570.89,15,Friday,0,1
2023-01-06 16:00:00,586.3,16,Friday,0,1
2023-01-06 17:00:00,593.37,17,Friday,0,1
2023-01-06 18:00:00,763.15,18,Friday,0,1
2023-01-06 19:00:00,812.75,19,Friday,0,1
2023-01-06 20:00:00,934.73,20,Friday,0,1
2023-01-06 21:00:00,832.97,21,Friday,0,1
2023-01-06 22:00:00,753.82,22,Friday,0,1
2023-01-06 23:00:00,630.49,23,Friday,0,1
2023-01-07 00:00:00,572.57,0,Saturday,1,1
2023-01-07 01:00:00,548.08,1,Saturday,1,1
2023-01-07 02:00:00,610.28,2,Saturday,1,1
2023-01-07 03:00:00,463.58,3,Saturday,1,1
2023-01-07 04:00:00,477.87,4,Saturday,1,1
2023-01-07 05:00:00,556.28,5,Saturday,1,1
2023-01-07 06:00:00,664.66,6,Saturday,1,1
2023-01-07 07:00:00,690.84,7,Saturday,1,1
2023-01-07 08:00:00,756.96,8,Saturday,1,1
2023-01-07 09:00:00,967.81,9,Saturday,1,1
2023-01-07 10:00:00,915.63,10,Saturday,1,1
2023-01-07 11:00:00,767.7,11,Saturday,1,1
2023-01-07 12:00:00,717.21,12,Saturday,1,1
2023-01-07 13:00:00,731.66,13,Saturday,1,1
2023-01-07 14:00:00,627.31,14,Saturday,1,1
2023-01-07 15:00:00,600.22,15,Saturday,1,1
2023-01-07 16:00:00,551.33,16,Saturday,1,1
2023-01-07 17:00:00,665.08,17,Saturday,1,1
2023-01-07 18:00:00,719.72,18,Saturday,1,1
2023-01-07 19:00:00,988.82,19,Saturday,1,1
2023-01-07 20:00:00,1039.23,20,Saturday,1,1
2023-01-07 21:00:00,927.01,21,Saturday,1,1
2023-01-07 22:00:00,823.41,22,Saturday,1,1
2023-01-07 23:00:00,724.27,23,Saturday,1,1
2023-01-08 00:00:00,552.94,0,Sunday,1,1
2023-01-08 01:00:00,412.18,1,Sunday,1,1
2023-01-08 02:00:00,575.91,2,Sunday,1,1
2023-01-08 03:00:00,507.7,3,Sunday,1,1
